model,true,predicted,rate,count
bert,neutral,joy,0.0836,105
bert,neutral,surprise,0.0565,71
bert,neutral,anger,0.0334,42
bert,neutral,sadness,0.0947,119
bert,neutral,disgust,0.0159,20
bert,neutral,fear,0.0589,74
bert,joy,neutral,0.1294,52
bert,joy,surprise,0.0622,25
bert,joy,anger,0.0597,24
bert,joy,sadness,0.0473,19
bert,joy,disgust,0.0199,8
bert,joy,fear,0.0224,9
bert,surprise,neutral,0.089,25
bert,surprise,joy,0.1068,30
bert,surprise,anger,0.0641,18
bert,surprise,sadness,0.0285,8
bert,surprise,disgust,0.0071,2
bert,surprise,fear,0.0427,12
bert,anger,neutral,0.1391,48
bert,anger,joy,0.1478,51
bert,anger,surprise,0.1623,56
bert,anger,sadness,0.0783,27
bert,anger,disgust,0.0406,14
bert,anger,fear,0.087,30
bert,sadness,neutral,0.2067,43
bert,sadness,joy,0.0962,20
bert,sadness,surprise,0.0529,11
bert,sadness,anger,0.0913,19
bert,sadness,disgust,0.0288,6
bert,sadness,fear,0.1731,36
bert,disgust,neutral,0.2059,14
bert,disgust,joy,0.0588,4
bert,disgust,surprise,0.1029,7
bert,disgust,anger,0.1029,7
bert,disgust,sadness,0.1471,10
bert,disgust,fear,0.1029,7
bert,fear,neutral,0.26,13
bert,fear,joy,0.06,3
bert,fear,surprise,0.1,5
bert,fear,anger,0.1,5
bert,fear,sadness,0.14,7
bert,fear,disgust,0.02,1
roberta,neutral,joy,0.0685,86
roberta,neutral,surprise,0.0709,89
roberta,neutral,anger,0.047,59
roberta,neutral,sadness,0.0756,95
roberta,neutral,disgust,0.0191,24
roberta,neutral,fear,0.0406,51
roberta,joy,neutral,0.1667,67
roberta,joy,surprise,0.0871,35
roberta,joy,anger,0.0896,36
roberta,joy,sadness,0.0299,12
roberta,joy,disgust,0.0224,9
roberta,joy,fear,0.0149,6
roberta,surprise,neutral,0.0819,23
roberta,surprise,joy,0.0783,22
roberta,surprise,anger,0.0925,26
roberta,surprise,sadness,0.0463,13
roberta,surprise,disgust,0.0391,11
roberta,surprise,fear,0.0285,8
roberta,anger,neutral,0.1188,41
roberta,anger,joy,0.1246,43
roberta,anger,surprise,0.1188,41
roberta,anger,sadness,0.0667,23
roberta,anger,disgust,0.0841,29
roberta,anger,fear,0.0551,19
roberta,sadness,neutral,0.2356,49
roberta,sadness,joy,0.0769,16
roberta,sadness,surprise,0.0577,12
roberta,sadness,anger,0.101,21
roberta,sadness,disgust,0.0385,8
roberta,sadness,fear,0.1154,24
roberta,disgust,neutral,0.25,17
roberta,disgust,joy,0.0147,1
roberta,disgust,surprise,0.1176,8
roberta,disgust,anger,0.0882,6
roberta,disgust,sadness,0.0882,6
roberta,disgust,fear,0.0294,2
roberta,fear,neutral,0.22,11
roberta,fear,joy,0.06,3
roberta,fear,surprise,0.08,4
roberta,fear,anger,0.06,3
roberta,fear,sadness,0.12,6
roberta,fear,disgust,0.06,3
