label_name,text
neutral,Destiny.
neutral,"Ross, she's not weird, she just wants her stuff to be one of a kind."
neutral,But we really do need to find someone up here.
joy,I love this coat!
joy,"No, I know! I get it! It's funny!"
joy,"Of course, you did."
surprise,Did he tell you?
surprise,Really?
surprise,"Ahh, Gepeto, $5,000 dollars? Are you insane?"
anger,Come on apartment! Come on apartment! Oh! I know queen is high!
anger,What?! What the hell?!
anger,Because I'm not going to spend one more day with someone whose out to sabotage my every move.
sadness,"I mean, I mean I was gonna be homeless."
sadness,"Well tell that to them. Oh! You can't, their dead."
sadness,"Ross, we…we have to be strong. Okay, I-I'm gonna go. Can I? To remember you?"
disgust,Yeah huh!! Cover yourself up!
disgust,"Hey, hang up! You get food poisoning just talkin' to that place."
disgust,Great. It's gym class all over again.
fear,"Monica, betting the apartment, I don't know about this."
fear,"He's got something plastic lodged in his throat, we've got to go to the hospital."
fear,Nuh-uh.
