model,model_name,learning_rate,batch_size,max_epochs,best_epoch,dev_weighted_f1,dev_macro_f1,dev_accuracy,dev_loss,wall_time_s,epoch_f1_trace
bert,bert-base-uncased,1e-05,16,5,4,0.5879,0.4636,0.5816,1.4534,141.5,0.5674;0.5755;0.5726;0.5879;0.5834
bert,bert-base-uncased,1e-05,32,5,5,0.5711,0.4424,0.56,1.4218,78.3,0.5387;0.5596;0.5602;0.5709;0.5711
bert,bert-base-uncased,2e-05,16,5,3,0.603,0.5009,0.5978,1.4929,140.1,0.5618;0.5651;0.6030;0.5903;0.5865
bert,bert-base-uncased,2e-05,32,5,5,0.5805,0.4681,0.5726,1.5297,72.5,0.5718;0.5564;0.5629;0.5755;0.5805
bert,bert-base-uncased,5e-05,16,5,3,0.5972,0.484,0.6005,1.7184,134.7,0.5543;0.5592;0.5972;0.5840;0.5817
bert,bert-base-uncased,5e-05,32,5,5,0.5919,0.4625,0.5951,2.1192,73.1,0.5435;0.5649;0.5696;0.5906;0.5919
roberta,roberta-base,1e-05,16,5,5,0.575,0.4565,0.5663,1.5093,138.7,0.5454;0.5332;0.5542;0.5660;0.5750
roberta,roberta-base,1e-05,32,5,5,0.555,0.4339,0.5419,1.4536,75.7,0.5374;0.5414;0.5431;0.5546;0.5550
roberta,roberta-base,2e-05,16,5,4,0.5784,0.4453,0.5717,1.6626,143.6,0.5514;0.5563;0.5663;0.5784;0.5765
roberta,roberta-base,2e-05,32,5,1,0.5826,0.4172,0.5816,1.6083,76.7,0.5826;0.5350;0.5472;0.5677;0.5727
roberta,roberta-base,5e-05,16,5,4,0.5843,0.4468,0.5744,1.7748,144.8,0.5049;0.5498;0.5543;0.5843;0.5704
roberta,roberta-base,5e-05,32,5,5,0.563,0.453,0.5564,1.7813,77.0,0.5327;0.5037;0.5484;0.5574;0.5630
